"Speaker","Rand","Position","Word","Durw","Vowel","Durvowel","stress"
"AC","rand4","prefinal","mose'",0.44,"e",0.19,1
"AC","rand4","prefinal","pupi",0.47,"i",0.14,0
"AC","rand4","prefinal","maro'",0.36,"o",0.16,1
"AC","rand4","prefinal","mimi'",0.37,"i",0.16,1
"AC","rand4","prefinal","bepi",0.47,"i",0.12,0
"AC","rand4","prefinal","pate'",0.44,"e",0.17,1
"AC","rand4","prefinal","para'",0.37,"a",0.17,1
"AC","rand4","prefinal","tana",0.43,"a",0.13,0
"AC","rand4","prefinal","mali",0.36,"i",0.13,0
"AC","rand4","prefinal","sede",0.45,"e",0.18,0
"AC","rand4","prefinal","remi",0.39,"i",0.12,0
"AC","rand4","prefinal","cile",0.5,"e",0.17,0
"AC","rand4","prefinal","kepi'",0.44,"i",0.17,1
"AC","rand4","prefinal","rita",0.38,"a",0.14,0
"AC","rand4","prefinal","toto'",0.41,"o",0.17,1
"AC","rand4","prefinal","case",0.48,"e",0.14,0
"AC","rand4","prefinal","bide'",0.37,"e",0.18,1
"AC","rand4","prefinal","gile'",0.31,"e",0.14,1
"AC","rand4","prefinal","pipi'",0.39,"i",0.14,1
"AC","rand4","prefinal","casa",0.46,"a",0.13,0
"AC","rand4","prefinal","tate",0.48,"e",0.15,0
"AC","rand4","prefinal","baro",0.48,"o",0.14,0
"AC","rand4","prefinal","ramo",0.49,"o",0.14,0
"AC","rand4","prefinal","kali'",0.42,"i",0.2,1
"AC","rand4","prefinal","nana'",0.36,"a",0.18,1
"AC","rand4","prefinal","palo",0.5,"o",0.11,0
"AC","rand4","prefinal","tito",0.45,"o",0.12,0
"AC","rand4","prefinal","como'",0.32,"o",0.12,1
"AC","rand4","prefinal","falo'",0.34,"o",0.13,1
"AC","rand4","prefinal","bara",0.43,"a",0.12,0
"AC","rand4","prefinal","sofa'",0.42,"a",0.17,1
"AC","rand4","prefinal","meta'",0.37,"a",0.16,1
"AL","rand1","prefinal","bide'",0.42,"e",0.21,1
"AL","rand1","prefinal","pipi'",0.42,"i",0.16,1
"AL","rand1","prefinal","tate",0.63,"e",0.21,0
"AL","rand1","prefinal","pate'",0.51,"e",0.23,1
"AL","rand1","prefinal","meta'",0.34,"a",0.19,1
"AL","rand1","prefinal","baro",0.58,"o",0.19,0
"AL","rand1","prefinal","maro'",0.32,"o",0.18,1
"AL","rand1","prefinal","casa",0.54,"a",0.16,0
"AL","rand1","prefinal","cile",0.58,"e",0.18,0
"AL","rand1","prefinal","case",0.59,"e",0.19,0
"AL","rand1","prefinal","tana",0.51,"a",0.18,0
"AL","rand1","prefinal","remi",0.53,"i",0.22,0
"AL","rand1","prefinal","falo'",0.42,"o",0.16,1
"AL","rand1","prefinal","bepi",0.59,"i",0.19,0
"AL","rand1","prefinal","kepi'",0.45,"i",0.17,1
"AL","rand1","prefinal","como'",0.36,"o",0.12,1
"AL","rand1","prefinal","sede",0.53,"e",0.17,0
"AL","rand1","prefinal","bara",0.52,"a",0.14,0
"AL","rand1","prefinal","gile'",0.36,"e",0.16,1
"AL","rand1","prefinal","kali'",0.44,"i",0.21,1
"AL","rand1","prefinal","toto'",0.46,"o",0.2,1
"AL","rand1","prefinal","para'",0.45,"a",0.21,1
"AL","rand1","prefinal","tito",0.59,"o",0.17,0
"AL","rand1","prefinal","sofa'",0.5,"a",0.18,1
"AL","rand1","prefinal","mimi'",0.39,"i",0.18,1
"AL","rand1","prefinal","nana'",0.39,"a",0.19,1
"AL","rand1","prefinal","palo",0.58,"o",0.18,0
"AL","rand1","prefinal","mose'",0.51,"e",0.23,1
"AL","rand1","prefinal","ramo",0.53,"o",0.15,0
"AL","rand1","prefinal","mali",0.53,"i",0.16,0
"AL","rand1","prefinal","rita",0.46,"a",0.18,0
"AL","rand1","prefinal","pupi",0.54,"i",0.16,0
"DN","rand3","prefinal","meta'",0.46,"a",0.23,1
"DN","rand3","prefinal","como'",0.43,"o",0.16,1
"DN","rand3","prefinal","pipi'",0.49,"i",0.24,1
"DN","rand3","prefinal","cile",0.58,"e",0.17,0
"DN","rand3","prefinal","kepi'",0.46,"i",0.16,1
"DN","rand3","prefinal","sofa'",0.48,"a",0.16,1
"DN","rand3","prefinal","case",0.55,"e",0.12,0
"DN","rand3","prefinal","maro'",0.44,"o",0.2,1
"DN","rand3","prefinal","casa",0.54,"a",0.14,0
"DN","rand3","prefinal","sede",0.55,"e",0.14,0
"DN","rand3","prefinal","mimi'",0.4,"i",0.18,1
"DN","rand3","prefinal","tana",0.43,"a",0.11,0
"DN","rand3","prefinal","tito",0.57,"o",0.16,0
"DN","rand3","prefinal","pate'",0.5,"e",0.22,1
"DN","rand3","prefinal","rita",0.49,"a",0.17,0
"DN","rand3","prefinal","bepi",0.6,"i",0.15,0
"DN","rand3","prefinal","pupi",0.58,"i",0.14,0
"DN","rand3","prefinal","falo'",0.43,"o",0.17,1
"DN","rand3","prefinal","nana'",0.41,"a",0.2,1
"DN","rand3","prefinal","mose'",0.5,"e",0.2,1
"DN","rand3","prefinal","toto'",0.44,"o",0.17,1
"DN","rand3","prefinal","bide'",0.5,"e",0.27,1
"DN","rand3","prefinal","bara",0.51,"a",0.16,0
"DN","rand3","prefinal","baro",0.56,"o",0.18,0
"DN","rand3","prefinal","palo",0.58,"o",0.14,0
"DN","rand3","prefinal","remi",0.45,"i",0.13,0
"DN","rand3","prefinal","kali'",0.4,"i",0.15,1
"DN","rand3","prefinal","tate",0.56,"e",0.16,0
"DN","rand3","prefinal","ramo",0.5,"o",0.1,0
"DN","rand3","prefinal","mali",0.54,"i",0.13,0
"DN","rand3","prefinal","gile'",0.46,"e",0.24,1
"DN","rand3","prefinal","para'",0.49,"a",0.22,1
"EB","rand1","prefinal","bide'",0.38,"e",0.19,1
"EB","rand1","prefinal","pipi'",0.39,"i",0.14,1
"EB","rand1","prefinal","tate",0.51,"e",0.09,0
"EB","rand1","prefinal","pate'",0.39,"e",0.13,1
"EB","rand1","prefinal","meta'",0.37,"a",0.16,1
"EB","rand1","prefinal","baro",0.46,"o",0.1,0
"EB","rand1","prefinal","maro'",0.31,"o",0.13,1
"EB","rand1","prefinal","casa",0.41,"a",0.06,0
"EB","rand1","prefinal","cile",0.38,"e",0.04,0
"EB","rand1","prefinal","case",0.43,"e",0.03,0
"EB","rand1","prefinal","tana",0.28,"a",0.04,0
"EB","rand1","prefinal","remi",0.39,"i",0.08,0
"EB","rand1","prefinal","falo'",0.37,"o",0.13,1
"EB","rand1","prefinal","bepi",0.47,"i",0.09,0
"EB","rand1","prefinal","kepi'",0.44,"i",0.2,1
"EB","rand1","prefinal","como'",0.34,"o",0.14,1
"EB","rand1","prefinal","sede",0.41,"e",0.09,0
