Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
AC,rand4,List,mose',0.44,e',0.19,casa,0.40,a,0.08
AC,rand4,List,pupi,0.47,i,0.14,mimi',0.31,i',0.11
AC,rand4,List,maro',0.36,o',0.16,rita,0.31,a,0.10
AC,rand4,List,mimi',0.37,i',0.16,meta',0.32,a',0.11
AC,rand4,List,bepi,0.47,i,0.12,palo,0.39,o,0.07
AC,rand4,List,pate',0.44,e',0.17,kali',0.30,i',0.08
AC,rand4,List,para',0.37,a',0.17,pate',0.35,e',0.08
AC,rand4,List,tana,0.43,a,0.13,falo',0.29,o',0.07
AC,rand4,List,mali,0.36,i,0.13,baro,0.39,o,0.11
AC,rand4,List,sede,0.45,e,0.18,sofa',0.31,a',0.08
AC,rand4,List,remi,0.39,i,0.12,nana',0.32,a',0.15
AC,rand4,List,cile,0.50,e,0.17,pipi',0.31,i',0.08
AC,rand4,List,kepi',0.44,i',0.17,maro',0.28,o',0.11
AC,rand4,List,rita,0.38,a,0.14,ramo,0.42,o,0.10
AC,rand4,List,toto',0.41,o',0.17,bide',0.25,e',0.10
AC,rand4,List,case,0.48,e,0.14,sede,0.38,e,0.14
AC,rand4,List,bide',0.37,e',0.18,mose',0.23,e',0.06
AC,rand4,List,gile',0.31,e',0.14,toto',0.27,o',0.07
AC,rand4,List,pipi',0.39,i',0.14,gile',0.27,e',0.10
AC,rand4,List,casa,0.46,a,0.13,mali,0.40,i,0.11
AC,rand4,List,tate,0.48,e,0.15,para',0.28,a',0.10
AC,rand4,List,baro,0.48,o,0.14,tana,0.36,a,0.10
AC,rand4,List,ramo,0.49,o,0.14,como',0.31,o',0.09
AC,rand4,List,kali',0.42,i',0.20,kepi',0.33,i',0.09
AC,rand4,List,nana',0.36,a',0.18,bepi,0.39,i,0.08
AC,rand4,List,palo,0.50,o,0.11,tate,0.39,e,0.09
AC,rand4,List,tito,0.45,o,0.12,remi,0.33,i,0.10
AC,rand4,List,como',0.32,o',0.12,pupi,0.42,i,0.12
AC,rand4,List,falo',0.34,o',0.13,tito,0.43,o,0.12
AC,rand4,List,bara,0.43,a,0.12,cile,0.36,e,0.11
AC,rand4,List,sofa',0.42,a',0.17,bara,0.38,a,0.10
AC,rand4,List,meta',0.37,a',0.16,case,0.39,e,0.08
AL,rand1,List,bide',0.42,e',0.21,mose',0.47,e',0.20
AL,rand1,List,pipi',0.42,i',0.16,gile',0.37,e',0.17
AL,rand1,List,tate,0.63,e,0.21,para',0.42,a',0.15
AL,rand1,List,pate',0.51,e',0.23,kali',0.35,i',0.08
